,１,２,３,４,５,６,７,8,9,10
"興味づけ
（10つ）",,,,昔Harukazeで担当したプロジェクトの裏話（画像も）,銀座シーシャのブランディングしたツイート（画像も）,,,,,
,理想の未来,理想の未来,理想の未来,実績,実績,実績,理想の未来(生活),理想の未来(生活),,
"問題点の指摘
（５つ）",,,,,,,,,,
,うまくいかない原因を指摘,あるあるなミスを指摘,競合を仮想敵批判,競合を仮想敵批判,,,,,,
"おすすめ手段
＆
他の選択肢の削除
（5つ）",,,,,,,,,,
,自分の手法の良さを伝える,自分の手法の良さを伝える,別の手法を否定する,別の手法を否定する,競合商品を否定する,,,,,
"再現性ポスト
（3つ）",,,,,,,,,,
,第三者がうまくいった話,複数回上手くいってる話,過去のダメダメさ,,,,,,,
"その他、教育ポスト
（7つ）",,,,,,,,,,
,知識の重要性,自己投資の重要性,自分が自己投資してる様子,自分が学んでる様子,即行動の重要性を伝える,,,,,
"予告ポスト
（７つ）",,,,,,,,,,
,販売予告,企画予告,Space予告,特典配布の予告,コンテンツ作成予告,,,,,
"リアルタイム性
（７つ）",,,,,,,,,,
,コンテンツ作成してる様子,コンテンツ作成してる様子,コンテンツ作成してる様子,特典作ってる様子,企画の準備してる様子,事件が起こる,,,,
