項目,前期実績_2024年,今期見込_2025年,計画1期目_2026年,計画2期目_2027年,計画3期目_2028年
売上高,12561,30000,45000,60000,70000
売上原価,0,0,0,0,0
売上高総利益,12561,30000,45000,60000,70000
販売管理費,12371,25500,31500,39000,45500
うち人件費,3600,7200,10800,14400,16800
うち役員報酬,600,1200,1800,2400,2400
営業利益,190,4500,13500,21000,24500
営業外収益,0,0,0,0,0
営業外費用,0,0,600,600,600
経常利益,190,4500,12900,20400,23900
法人税等,50,1350,3870,6120,7170
当期利益,140,3150,9030,14280,16730

借入金項目,前期実績_2024年,今期見込_2025年,計画1期目_2026年,計画2期目_2027年,計画3期目_2028年
既存借入金,0,0,0,0,0
新規借入金,0,3000,2340,1680,1020
合計,0,3000,2340,1680,1020

返済能力分析,2025年,2026年,2027年,2028年,2029年
予測営業CF,3600,8000,12000,14000,16000
年間返済額,330,660,660,660,360
DSCR,10.9,12.1,18.2,21.2,44.4
返済余力,3270,7340,11340,13340,15640
