売上管理,資金繰り表,,,,,,,,,,,,,,
,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計
売上高,"¥4,906,632","¥5,372,925","¥6,780,982","¥18,505,320","¥10,275,083","¥6,631,112","¥52,472,054","¥831,509",,,,,,"¥831,509","¥53,303,563"
事業① デザジュク,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
事業②toB,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
事業③デザインハックス,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
原価,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
売上総利益,"¥4,906,632","¥5,372,925","¥6,780,982","¥18,505,320","¥10,275,083","¥6,631,112","¥52,472,054","¥831,509",¥0,¥0,¥0,¥0,¥0,"¥831,509","¥53,303,563"
販管費,"¥8,349,072","¥8,167,901","¥3,298,381","¥5,163,145","¥13,669,410","¥9,275,252","¥47,923,161","¥3,433,187",¥0,¥0,¥0,¥0,¥0,"¥3,433,187","¥51,356,348"
営業利益,"-¥3,442,440","-¥2,794,976","¥3,482,601","¥13,342,175","-¥3,394,327","-¥2,644,140","¥4,548,893","-¥2,601,678",¥0,¥0,¥0,¥0,¥0,"-¥2,601,678","¥1,947,215"
原価率,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
売上総利益率,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
営業利益率,-70.16%,-52.02%,51.36%,72.10%,-33.03%,-39.87%,8.67%,-312.89%,0.00%,0.00%,0.00%,0.00%,0.00%,-312.89%,3.65%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計
,,,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
,,,,,,,¥0,,,,,,,¥0,¥0
,,,,,,,¥0,,,,,,,¥0,¥0
,,,,,,,¥0,,,,,,,¥0,¥0
,,,,"¥18,505,320","¥10,275,083","¥6,631,112","¥52,472,054","¥831,509",¥0,¥0,¥0,¥0,¥0,"¥831,509","¥53,303,563"
,,,,,,,,,,,,,,,
販管費,"¥8,349,072","¥8,167,901","¥3,298,381","¥5,163,145","¥13,669,410","¥9,275,252","¥47,923,161","¥3,433,187",¥0,¥0,¥0,¥0,¥0,"¥3,433,187","¥51,356,348"
,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計
役員報酬,"¥168,110","¥336,220",¥0,"¥336,220",¥0,"¥336,220","¥1,176,770",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,176,770"
給与賃金,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
賞与,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
法定福利費,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
福利厚生費,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
業務委託費,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
地代家賃,"¥189,529","¥189,000","¥378,000",¥0,"¥378,000","¥189,000","¥1,323,529",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,323,529"
水道光熱費,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
広告宣伝費,¥0,"¥3,960","¥3,960","¥3,960","¥3,960","¥3,960","¥19,800","¥3,960",¥0,¥0,¥0,¥0,¥0,"¥3,960","¥23,760"
旅費交通費,"¥235,330","¥13,300",¥0,¥0,"¥31,000","¥228,498","¥508,128","¥170,341",¥0,¥0,¥0,¥0,¥0,"¥170,341","¥678,469"
備品・消耗品,"¥149,322","¥386,059","¥7,323",¥0,"¥312,554","¥163,557","¥1,018,815","¥7,484",¥0,¥0,¥0,¥0,¥0,"¥7,484","¥1,026,299"
システム費,"¥61,581","¥122,734","¥55,800","¥61,198","¥101,997","¥155,061","¥558,371","¥311,078",¥0,¥0,¥0,¥0,¥0,"¥311,078","¥869,449"
