資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,前月, 01/ 01 (水) , 01/ 02 (木) , 01/ 03 (金) , 01/ 04 (土) , 01/ 05 (日) , 01/ 06 (月) , 01/ 07 (火) , 01/ 08 (水) , 01/ 09 (木) , 01/ 10 (金) , 01/ 11 (土) , 01/ 12 (日) , 01/ 13 (月) , 01/ 14 (火) , 01/ 15 (水) , 01/ 16 (木) , 01/ 17 (金) , 01/ 18 (土) , 01/ 19 (日) , 01/ 20 (月) , 01/ 21 (火) , 01/ 22 (水) , 01/ 23 (木) , 01/ 24 (金) , 01/ 25 (土) , 01/ 26 (日) , 01/ 27 (月) , 01/ 28 (火) , 01/ 29 (水) , 01/ 30 (木) , 01/ 31 (金) ,合計,月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
前月繰越金（自己資金）　　　　  (A),,,"¥7,811,879","¥7,811,879","¥7,771,556","¥7,756,536","¥7,749,336","¥7,724,317","¥7,694,572","¥7,806,643","¥7,806,643","¥7,806,643","¥7,159,546","¥7,152,171","¥7,152,171","¥6,879,745","¥6,837,505","¥6,828,625","¥6,637,268","¥5,120,466","¥4,956,571","¥4,943,791","¥4,957,791","¥4,933,430","¥4,900,589","¥4,808,964","¥4,303,539","¥4,451,072","¥4,423,912","¥4,399,671","¥3,568,169","¥3,548,039","¥3,308,385","¥3,413,489",,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
,,　売掛金回収,,,,,,,"¥19,754",,,,,,,,,,,,,"¥14,000",,,,,"¥199,765",,,,,,"¥201,910","¥4,375,208","¥4,810,637","¥108,857"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
,,　その他,,¥505,,,,,"¥100,160",,,,,,,,,,,,,,,"¥10,525",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (B),,,¥505,¥0,¥0,¥0,¥0,"¥119,914",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥14,000",¥0,"¥10,525",¥0,¥0,"¥199,765",¥0,¥0,¥0,¥0,¥0,"¥201,910","¥4,375,208","¥4,921,827","¥18,221"
,支出,家賃,,,,,,,,,,,,,"¥189,674",,,,,,,,,,,,,,,,,,,,"¥189,674","¥189,674"
,,デビットカード,,"¥13,640",,,,,,,,,"¥7,375",,,,,"¥25,000",,"¥57,855",,,,,,,,,,,,,,,"¥103,870","¥25,968"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,,,,,,,,,,,,"¥82,752",,,,,,,,,,,,,,,,,"¥168,255",,"¥1,510,513","¥1,761,520","¥587,173"
,,人件費（その他）,,,,,,,,,,"¥647,097",,,,,,,,,,,,,,,,,,,,,,"¥1,919,067","¥2,566,164","¥1,283,082"
