資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,前月, 03/ 01 (土) , 03/ 02 (日) , 03/ 03 (月) , 03/ 04 (火) , 03/ 05 (水) , 03/ 06 (木) , 03/ 07 (金) , 03/ 08 (土) , 03/ 09 (日) , 03/ 10 (月) , 03/ 11 (火) , 03/ 12 (水) , 03/ 13 (木) , 03/ 14 (金) , 03/ 15 (土) , 03/ 16 (日) , 03/ 17 (月) , 03/ 18 (火) , 03/ 19 (水) , 03/ 20 (木) , 03/ 21 (金) , 03/ 22 (土) , 03/ 23 (日) , 03/ 24 (月) , 03/ 25 (火) , 03/ 26 (水) , 03/ 27 (木) , 03/ 28 (金) , 03/ 29 (土) , 03/ 30 (日) , 03/ 31 (月) ,合計,月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
前月繰越金（自己資金）　　　　  (A),,,"¥1,574,968","¥1,574,968","¥1,572,024","¥1,571,276","¥1,567,604","¥1,156,345","¥1,054,496","¥1,051,710","¥609,339","¥405,771","¥405,771","¥396,257","¥396,257","¥396,257","¥394,303","¥494,463","¥494,463","¥414,463","¥357,216","¥357,216","¥355,056","¥355,056","¥361,882","¥345,917","¥345,917","¥345,917","¥393,757","¥893,757","¥173,122","¥419,182","¥417,616","¥507,564",,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
,,　売掛金回収,,"¥10,548","¥6,000",,"¥431,640","¥87,456",,,,,,,,,,,,,,,,,,,,"¥47,840",,,"¥250,233",,"¥92,000","¥5,245,128","¥6,170,845","¥132,245"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
,,　その他,,¥148,,,,,,,,,,,,,"¥100,160",,,,,,,"¥9,829",,,,,"¥500,000",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (B),,,"¥10,696","¥6,000",¥0,"¥431,640","¥87,456",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥100,160",¥0,¥0,¥0,¥0,¥0,¥0,"¥9,829",¥0,¥0,¥0,"¥47,840","¥500,000",¥0,"¥250,233",¥0,"¥92,000","¥5,245,128","¥6,780,982","¥51,195"
,支出,家賃,,,,,,,,,"¥189,145",,,,,,,,,,,,,,,,,,,,,,,"¥189,145","¥378,290","¥189,145"
,,デビットカード,,"¥13,640",,,,,,,,,"¥7,375",,,,,,"¥25,000","¥55,800",,,,,,,,,,,,,,,"¥101,815","¥25,454"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,,,,"¥841,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥841,387","¥841,387"
,,人件費（その他）,,,,,,"¥187,145",,,"¥12,500",,,,,,,,,,,,,,,,,,,,,,,"¥505,978","¥705,623","¥235,208"
,,諸経費,,,"¥6,748","¥3,672","¥1,512","¥2,160","¥2,786","¥3,150","¥1,923",,"¥2,139",,,"¥1,954",,,"¥55,000","¥1,447",,"¥2,160",,"¥3,003","¥15,965",,,,,"¥720,635","¥4,173","¥1,566","¥2,052",,"¥832,045","¥46,225"
,,税金,,,,,,,,"¥439,221",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (C),,,"¥13,640","¥6,748","¥3,672","¥842,899","¥189,305","¥2,786","¥442,371","¥203,568",¥0,"¥9,514",¥0,¥0,"¥1,954",¥0,¥0,"¥80,000","¥57,247",¥0,"¥2,160",¥0,"¥3,003","¥15,965",¥0,¥0,¥0,¥0,"¥720,635","¥4,173","¥1,566","¥2,052","¥695,123","¥3,298,381","¥86,775"
,,差引過不足  (B)-(C)=(D),¥0,"-¥2,944",-¥748,"-¥3,672","-¥411,259","-¥101,849","-¥2,786","-¥442,371","-¥203,568",¥0,"-¥9,514",¥0,¥0,"-¥1,954","¥100,160",¥0,"-¥80,000","-¥57,247",¥0,"-¥2,160",¥0,"¥6,826","-¥15,965",¥0,¥0,"¥47,840","¥500,000","-¥720,635","¥246,060","-¥1,566","¥89,948","¥4,550,005","¥3,482,601","-¥34,432"
