資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,メモ
単位：千円,,,前月, 05/ 01 (木) , 05/ 02 (金) , 05/ 03 (土) , 05/ 04 (日) , 05/ 05 (月) , 05/ 06 (火) , 05/ 07 (水) , 05/ 08 (木) , 05/ 09 (金) , 05/ 10 (土) , 05/ 11 (日) , 05/ 12 (月) , 05/ 13 (火) , 05/ 14 (水) , 05/ 15 (木) , 05/ 16 (金) , 05/ 17 (土) , 05/ 18 (日) , 05/ 19 (月) , 05/ 20 (火) , 05/ 21 (水) , 05/ 22 (木) , 05/ 23 (金) , 05/ 24 (土) , 05/ 25 (日) , 05/ 26 (月) , 05/ 27 (火) , 05/ 28 (水) , 05/ 29 (木) , 05/ 30 (金) , 05/ 31 (土) ,合計,月平均,,1月～前月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
前月繰越金（自己資金）　　　　  (A),,,"¥18,399,744","¥18,399,744","¥14,225,879","¥14,225,879","¥14,215,877","¥14,215,877","¥14,215,877","¥14,215,877","¥13,851,876","¥13,851,876","¥14,220,876","¥14,213,501","¥14,213,501","¥14,213,501","¥14,230,569","¥14,190,769","¥14,169,480","¥14,132,530","¥14,016,747","¥13,998,257","¥13,958,847","¥12,922,603","¥12,918,984","¥12,907,984","¥13,045,419","¥12,999,755","¥12,994,255","¥12,978,085","¥12,448,360","¥12,436,599","¥12,197,474","¥15,585,021",,,,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
,,　売掛金回収,,,,,,,,,,,,,,"¥31,780",,,,,,,,,,"¥167,440",,,,,,"¥48,400","¥9,808,142","¥100,840","¥10,156,602","¥2,513,941",,"¥7,093,577"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
,,　その他,,¥216,,,,,,,,"¥369,000",,,,,,,,,,,,"¥1,176",,,,,,,,,"¥94,280",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (B),,,¥216,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥369,000",¥0,¥0,¥0,"¥31,780",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,176",¥0,"¥167,440",¥0,¥0,¥0,¥0,¥0,"¥48,400","¥9,902,422","¥100,840","¥10,621,274","¥350,681",,
,支出,家賃,,"¥189,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189,145",,"¥378,290","¥189,145",,
,,デビットカード,,"¥13,640",,"¥5,867",,,,,,,"¥7,375",,,,,,"¥25,000","¥55,283",,,,,,,,,,,,,,,"¥107,165","¥21,433",,"¥102,255"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,"¥2,562,836",,,,,,"¥247,213",,,,,,,,,,,,,,,,,,,,,,,"¥3,372,775",,"¥6,182,824","¥2,060,941",,"¥2,087,340"
,,人件費（その他）,,"¥1,408,460",,,,,,"¥73,014",,,,,,,,,,,,,,,,,,,,,,,"¥2,895,850","¥330,145","¥4,707,469","¥1,176,867",,"¥1,322,960"
,,諸経費,,,,"¥4,135",,,,"¥43,774",,,,,,"¥14,712","¥39,800","¥21,289","¥11,950","¥60,500","¥18,490","¥39,410","¥1,036,244","¥4,795","¥11,000","¥30,005","¥45,664","¥5,500","¥16,170","¥529,725","¥11,761","¥287,525","¥57,105","¥4,108","¥6,182,824","¥109,222",,"¥1,114,339"
,,税金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (C),,,"¥4,174,081",¥0,"¥10,002",¥0,¥0,¥0,"¥364,001",¥0,¥0,"¥7,375",¥0,¥0,"¥14,712","¥39,800","¥21,289","¥36,950","¥115,783","¥18,490","¥39,410","¥1,036,244","¥4,795","¥11,000","¥30,005","¥45,664","¥5,500","¥16,170","¥529,725","¥11,761","¥287,525","¥6,514,875","¥334,253","¥13,669,410","¥444,505",,
,,差引過不足  (B)-(C)=(D),¥0,"-¥4,173,865",¥0,"-¥10,002",¥0,¥0,¥0,"-¥364,001",¥0,"¥369,000","-¥7,375",¥0,¥0,"¥17,068","-¥39,800","-¥21,289","-¥36,950","-¥115,783","-¥18,490","-¥39,410","-¥1,036,244","-¥3,619","-¥11,000","¥137,435","-¥45,664","-¥5,500","-¥16,170","-¥529,725","-¥11,761","-¥239,125","¥3,387,547","-¥233,413","-¥3,048,136","-¥90,798",,
投資収支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,計　　　    　 (E),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
財務収支,収入,借入金（銀行）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金(銀行以外),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,支出,借入金返済（銀行）,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
,,支払利息（銀行）,,,,,,,,,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金返済（銀行以外）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,財務収支計　 (F) ,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
翌月繰越金 (A)+(D)-(E)+(F)=(G),,,"¥18,399,744","¥14,225,879","¥14,225,879","¥14,215,877","¥14,215,877","¥14,215,877","¥14,215,877","¥13,851,876","¥13,851,876","¥14,220,876","¥14,213,501","¥14,213,501","¥14,213,501","¥14,230,569","¥14,190,769","¥14,169,480","¥14,132,530","¥14,016,747","¥13,998,257","¥13,958,847","¥12,922,603","¥12,918,984","¥12,907,984","¥13,045,419","¥12,999,755","¥12,994,255","¥12,978,085","¥12,448,360","¥12,436,599","¥12,197,474","¥15,585,021","¥15,351,608",,"-¥90,798",,
,,引き落とし,,,,GENSPARK.AI,,,,ビックカメラ,,,,,,AQUA VOICE,APPLE.COM/BILL,外食,グラフィック、会食,会議、タクシー,会議、タクシー,外食、タクシー,外食、タクシー,外食,外食,タクシー、外食、消耗品,タクシー、Amazon、外食,システム費,外食、システム費,クレカ（ﾗｲﾌｶｰﾄﾞ）、タクシー、カラオケ,外食、Amazon、タクシー,外食、タクシー、ウーバーイーツ,ウーバーイーツ、ア－トデイレクタ－ズクラブ,ウーバーイーツ,,,,
,,振込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
