資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,前月, 06/ 01 (日) , 06/ 02 (月) , 06/ 03 (火) , 06/ 04 (水) , 06/ 05 (木) , 06/ 06 (金) , 06/ 07 (土) , 06/ 08 (日) , 06/ 09 (月) , 06/ 10 (火) , 06/ 11 (水) , 06/ 12 (木) , 06/ 13 (金) , 06/ 14 (土) , 06/ 15 (日) , 06/ 16 (月) , 06/ 17 (火) , 06/ 18 (水) , 06/ 19 (木) , 06/ 20 (金) , 06/ 21 (土) , 06/ 22 (日) , 06/ 23 (月) , 06/ 24 (火) , 06/ 25 (水) , 06/ 26 (木) , 06/ 27 (金) , 06/ 28 (土) , 06/ 29 (日) , 06/ 30 (月) ,,合計,月平均,,1月～前月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
前月繰越金（自己資金）　　　　  (A),,,"¥15,351,608","¥15,351,608","¥15,374,743","¥15,299,106","¥15,129,507","¥15,129,507","¥15,113,807","¥15,047,807","¥15,044,793","¥15,034,793","¥15,034,793","¥15,023,572","¥15,023,572","¥15,088,668","¥15,082,581","¥15,023,660","¥15,023,660","¥14,816,613","¥14,676,552","¥14,658,752","¥14,614,796","¥14,608,831","¥14,602,419","¥14,509,655","¥14,517,890","¥14,495,985","¥14,288,759","¥14,221,373","¥13,665,858","¥13,653,198","¥13,808,138",,,,,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
,,　売掛金回収,,"¥72,675","¥484,055",,,,,,,,,,"¥67,343",,,,"¥141,350",,,,,,,,,"¥143,520",,,,"¥180,950","¥6,398,317",,"¥7,488,210","¥1,069,744",,"¥9,124,897"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
,,　その他,,,,,,,,,,,,,,,,,,,,,,,,"¥8,235",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (B),,,"¥72,675","¥484,055",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥67,343",¥0,¥0,¥0,"¥141,350",¥0,¥0,¥0,¥0,¥0,¥0,"¥8,235",¥0,"¥143,520",¥0,¥0,¥0,"¥180,950","¥6,398,317",,"¥7,496,445","¥249,882",,
,支出,家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥189,145",,"¥189,145","¥189,145",,
,,デビットカード,,"¥13,640",,,,,,,,,"¥7,375",,,,,,"¥25,000","¥54,771",,,,,,,,,,,,,,,"¥100,786","¥25,197",,"¥103,237"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,,"¥343,357","¥134,830",,,,,,,,,,,,,,,,,,,,,,"¥336,276",,,,,"¥4,262,981",,"¥5,077,444","¥1,269,361",,"¥2,906,437"
,,人件費（その他）,,,"¥203,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥2,213,641",,"¥2,417,074","¥1,208,537",,"¥1,999,862"
,,諸経費,,"¥35,900","¥12,902","¥34,769",,"¥15,700","¥66,000","¥3,014","¥10,000",,"¥3,846",,"¥2,247","¥6,087","¥58,921",,"¥323,397","¥85,290","¥17,800","¥43,956","¥5,965","¥6,412","¥92,764",,"¥21,905","¥14,470","¥67,386","¥555,515","¥12,660","¥26,010","¥18,041",,"¥1,540,957","¥61,638",,"¥2,128,036"
,,税金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (C),,,"¥49,540","¥559,692","¥169,599",¥0,"¥15,700","¥66,000","¥3,014","¥10,000",¥0,"¥11,221",¥0,"¥2,247","¥6,087","¥58,921",¥0,"¥348,397","¥140,061","¥17,800","¥43,956","¥5,965","¥6,412","¥92,764",¥0,"¥21,905","¥350,746","¥67,386","¥555,515","¥12,660","¥26,010","¥6,683,808",¥0,"¥9,325,406","¥310,847",,
,,差引過不足  (B)-(C)=(D),¥0,"¥23,135","-¥75,637","-¥169,599",¥0,"-¥15,700","-¥66,000","-¥3,014","-¥10,000",¥0,"-¥11,221",¥0,"¥65,096","-¥6,087","-¥58,921",¥0,"-¥207,047","-¥140,061","-¥17,800","-¥43,956","-¥5,965","-¥6,412","-¥92,764","¥8,235","-¥21,905","-¥207,226","-¥67,386","-¥555,515","-¥12,660","¥154,940","-¥285,491",¥0,"-¥1,828,961","-¥58,999",,
投資収支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,計　　　    　 (E),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
財務収支,収入,借入金（銀行）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金(銀行以外),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,支出,借入金返済（銀行）,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
,,支払利息（銀行）,,,,,,,,,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金返済（銀行以外）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,財務収支計　 (F) ,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
翌月繰越金 (A)+(D)-(E)+(F)=(G),,,"¥15,351,608","¥15,374,743","¥15,299,106","¥15,129,507","¥15,129,507","¥15,113,807","¥15,047,807","¥15,044,793","¥15,034,793","¥15,034,793","¥15,023,572","¥15,023,572","¥15,088,668","¥15,082,581","¥15,023,660","¥15,023,660","¥14,816,613","¥14,676,552","¥14,658,752","¥14,614,796","¥14,608,831","¥14,602,419","¥14,509,655","¥14,517,890","¥14,495,985","¥14,288,759","¥14,221,373","¥13,665,858","¥13,653,198","¥13,808,138","¥13,522,647",¥0,,"-¥58,999",,
,,引き落とし,,LINE OFFICIAL ACCOUN、GooglePLAY、 X-TEP,外食,スタバ、外食、システム費,,システム費、会食,システム費,ウーバーイーツ,システム費,,UberJP_EATS,,UberJP_EATS,UberJP_EATS,UberJP_EATS、ホテル,,UberJP_EATS、名刺、ユニクロ、レンタルスペース,高速バス、タクシー外食,会食,会食、レンタルスペース,ウーバーイーツ,ウーバーイーツ、NOTE,会食,,ウーバーイーツ、外食、タクシー,会食、カフェ,会食、ウーバーイーツ,クレカ、ウーバーイーツ、タクシー,タクシー、LINEEC,UTAGE、ウーバーイーツ,タクシー、GOOGLE PLAY,,,,,
,,振込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
