資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,前月, 07/ 01 (火) , 07/ 02 (水) , 07/ 03 (木) , 07/ 04 (金) , 07/ 05 (土) , 07/ 06 (日) , 07/ 07 (月) , 07/ 08 (火) , 07/ 09 (水) , 07/ 10 (木) , 07/ 11 (金) , 07/ 12 (土) , 07/ 13 (日) , 07/ 14 (月) , 07/ 15 (火) , 07/ 16 (水) , 07/ 17 (木) , 07/ 18 (金) , 07/ 19 (土) , 07/ 20 (日) , 07/ 21 (月) , 07/ 22 (火) , 07/ 23 (水) , 07/ 24 (木) , 07/ 25 (金) , 07/ 26 (土) , 07/ 27 (日) , 07/ 28 (月) , 07/ 29 (火) , 07/ 30 (水) , 07/ 31 (木) ,合計,月平均,,1月～前月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
前月繰越金（自己資金）　　　　  (A),,,"¥13,522,647","¥13,522,647","¥13,216,776","¥13,197,792","¥13,187,904","¥13,165,867","¥13,163,567","¥13,026,342","¥10,530,114","¥10,718,920","¥10,693,950","¥10,677,965","¥10,687,870","¥10,589,355","¥10,714,530","¥10,710,660","¥10,597,260","¥10,990,310","¥10,887,319","¥10,880,599","¥10,868,599","¥10,868,599","¥10,861,498","¥10,858,773","¥10,840,878","¥10,836,478","¥10,953,491","¥10,941,278","¥10,936,351","¥10,327,549","¥10,314,039","¥10,323,939",,,toB,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,150万円,
,,　売掛金回収,,"¥19,647",,,,,,"¥14,367","¥191,950",,,"¥14,520",,"¥125,175",,,"¥432,850",,,"¥33,000",,,,"¥22,000",,"¥149,020",,,,,"¥9,900","¥2,228,389","¥3,240,818","¥101,243",個別講座,"¥9,636,577"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,150万円くらい,
,,　その他,,,,,,,,,,,,,,,,,,,,,,,"¥8,275",,,,,,,,,,,,デザジュク,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232万円,
,　計　　　    　 (B),,,"¥19,647",¥0,¥0,¥0,¥0,¥0,"¥14,367","¥191,950",¥0,¥0,"¥14,520",¥0,"¥125,175",¥0,¥0,"¥432,850",¥0,¥0,"¥33,000",¥0,¥0,"¥8,275","¥22,000",¥0,"¥149,020",¥0,¥0,¥0,¥0,"¥9,900","¥2,228,389","¥3,249,093","¥34,023",,
,支出,家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥203,145","¥203,145",-,,
,,デビットカード,,"¥13,640",,,,,,,,,"¥7,375",,,,,,"¥25,000","¥55,800",,,,,,,,,,,,,,,"¥101,815","¥25,454",,"¥102,828"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,"¥253,989",,,,,,,,,,"¥4,615",,,,,,,,,,,,,,,,,,,,"¥6,230,000","¥6,488,604","¥129,302",,"¥3,268,271"
,,人件費（その他）,,,,,,,,,,,,,98515,,,,,,,,,,,,,,,,,,,,"¥98,515","¥98,515",,"¥2,069,397"
,,諸経費,,"¥57,889","¥18,984","¥9,888","¥22,037","¥2,300","¥137,225","¥10,450","¥3,144","¥24,970","¥8,610",,,,"¥3,870","¥113,400","¥14,800","¥47,191","¥6,720","¥45,000",,"¥7,101","¥11,000","¥39,895","¥4,400","¥32,007","¥12,213","¥4,927","¥608,802","¥13,510",,,"¥1,260,333","¥50,413",,"¥1,930,317"
,,税金,,,,,,,,"¥2,500,145",,,,,,,,,,,,,,,,,,,,,,,,"¥400,000",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
