,,2022,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,2022~2025
,,12月,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,合計
上振れ,デザジュク受注売上,"¥17,360,000","¥17,360,000","¥1,510,000","¥704,880",¥0,¥0,¥0,¥0,"¥704,880","¥13,310,000","¥6,020,000","¥16,370,000","¥16,530,000","¥18,260,000","¥73,409,760","¥15,910,000","¥14,740,000","¥7,579,635","¥12,625,123","¥12,265,915","¥8,407,117","¥71,527,790","¥9,580,297","¥9,616,000","¥9,616,000","¥7,897,090","¥11,915,500","¥9,743,000","¥58,367,887","¥129,895,677","¥9,328,000","¥19,152,000","¥54,264,000","¥32,718,000","¥27,930,000","¥23,142,000","¥166,534,000","¥11,970,000",,,,,,"¥11,970,000","¥178,504,000","¥399,169,437"
,デザジュク入金売上,,"¥2,550,000",,,,,,,,,,,,,"¥73,409,760","¥6,411,063","¥2,673,499","¥7,579,635","¥12,625,123","¥12,265,915","¥8,407,117","¥49,962,352","¥9,580,297","¥9,616,000","¥11,216,547","¥9,223,385","¥13,268,665","¥11,175,425","¥64,080,319","¥114,042,671","¥10,174,000","¥13,059,524","¥44,641,100","¥24,786,755","¥25,572,085","¥20,852,455","¥139,085,919","¥20,000,000","¥20,000,000","¥23,000,000","¥26,000,000","¥80,000,000","¥31,000,000","¥200,000,000","¥339,085,919","¥529,088,350"
,デザジュク販管費,,,,,,,,,,,,,,,,"¥3,270,232",¥0,¥0,¥0,¥0,¥0,"¥3,270,232",¥0,¥0,"¥5,186,107","¥3,126,964","¥6,899,664","¥4,113,848","¥19,326,583","¥22,596,815","¥4,551,515","¥4,773,026","¥10,875,710","¥10,317,281","¥15,409,057","¥16,978,270","¥62,904,859","¥10,000,000","¥9,000,000","¥9,200,000","¥10,400,000","¥24,000,000","¥12,400,000","¥75,000,000","¥137,904,859","¥160,501,674"
, L 広告費,,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥4,348,327","¥2,364,184","¥5,351,314","¥2,968,591","¥15,032,416","¥15,032,416","¥3,341,218","¥3,995,660","¥3,465,055","¥4,996,778","¥7,558,298","¥6,990,226","¥30,347,235",,,,,,,¥0,"¥30,347,235","¥45,379,651"
, L 営業代行費,,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥585,000","¥510,000","¥720,000","¥435,000","¥2,250,000","¥2,250,000","¥410,000","¥470,000","¥1,860,000","¥895,000","¥1,030,000","¥795,000","¥5,460,000",,,,,,,¥0,"¥5,460,000","¥7,710,000"
, L システム費,,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥32,780","¥32,780","¥32,780","¥32,780","¥131,120","¥131,120","¥32,780","¥32,780","¥32,780","¥32,780","¥98,340","¥98,340","¥327,800",,,,,,,¥0,"¥327,800","¥458,920"
, L 決済手数料,,,,,,,,,,,,,,,,,,,,,,¥0,,,¥0,¥0,"¥575,570","¥457,477","¥1,033,047","¥1,033,047","¥492,517","¥274,586","¥1,208,970","¥779,460","¥844,258","¥751,950","¥4,351,741",,,,,,,¥0,"¥4,351,741","¥5,384,788"
, L 他人件費(管理など),,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥220,000","¥220,000","¥220,000","¥220,000","¥880,000","¥880,000","¥275,000",¥0,"¥1,250,000","¥600,000","¥2,525,000","¥359,160","¥5,009,160",,,,,,,¥0,"¥5,009,160","¥5,889,160"
, L 返金対応分,,,,,,,,,,,,,,,,,,,,,,¥0,,,,,,,¥0,¥0,,,"¥3,058,905","¥3,013,263","¥3,353,161","¥7,983,594","¥17,408,923",,,,,,,¥0,"¥17,408,923","¥17,408,923"
